stim_on_time_ms,stim_off_time_ms,stim_on_delay_ms,stimulus_size_degrees,fixation_window_size_degrees,fixation_point_size_degrees,stim_id,stim_current,stimulus_presented,fixation_correct,stimulus_order_in_trial,samp_on_us,photodiode_on_us
100.0,100.0,300.0,8,2,0.2,b-000,40,53,1,2,595016750,595028900
100.0,100.0,300.0,8,2,0.2,a-022,48,54,1,3,595351550,595348550
100.0,100.0,300.0,8,2,0.2,d-008,48,55,1,4,595683900,595671600
100.0,100.0,300.0,8,2,0.2,a-024,40,56,1,5,596016450,596022750
100.0,100.0,300.0,8,2,0.2,d-016,4,57,1,6,596349650,596374000
100.0,100.0,300.0,8,2,0.2,a-016,24,58,1,7,596683650,596692500
100.0,100.0,300.0,8,2,0.2,a-031,8,59,1,8,597018200,597045150
100.0,100.0,300.0,8,2,0.2,d-025,40,60,1,1,604720050,604737950
100.0,100.0,300.0,8,2,0.2,b-031,48,61,1,2,605052700,605056650
100.0,100.0,300.0,8,2,0.2,b-000,24,62,1,3,605387950,605376550
100.0,100.0,300.0,8,2,0.2,d-005,48,63,1,4,605720600,605729500
100.0,100.0,300.0,8,2,0.2,d-008,24,64,1,5,606054100,606048500
100.0,100.0,300.0,8,2,0.2,a-024,48,65,1,6,606386900,606402600
100.0,100.0,300.0,8,2,0.2,d-016,16,66,1,7,606720700,606721400
100.0,100.0,300.0,8,2,0.2,d-000,16,67,1,8,607057150,607042000
100.0,100.0,300.0,8,2,0.2,a-031,4,68,1,1,614812400,614813700
100.0,100.0,300.0,8,2,0.2,d-025,4,69,1,2,615144650,615133450
100.0,100.0,300.0,8,2,0.2,a-028,48,70,1,3,615478700,615465750
100.0,100.0,300.0,8,2,0.2,d-018,48,71,1,4,615799550,615805900
100.0,100.0,300.0,8,2,0.2,a-022,4,72,1,5,616132900,616125150
100.0,100.0,300.0,8,2,0.2,a-016,48,73,1,6,616467400,616477850
100.0,100.0,300.0,8,2,0.2,d-010,48,74,1,7,616800400,616798200
100.0,100.0,300.0,8,2,0.2,a-000,16,75,1,8,617132900,617130900
100.0,100.0,300.0,8,2,0.2,d-005,16,76,1,1,624854300,624855900
100.0,100.0,300.0,8,2,0.2,d-008,4,77,1,2,625186400,625176000
100.0,100.0,300.0,8,2,0.2,d-025,16,78,1,3,625519100,625509950
100.0,100.0,300.0,8,2,0.2,b-031,40,79,1,4,625855150,625848900
100.0,100.0,300.0,8,2,0.2,d-018,40,80,1,5,626186600,626171950
100.0,100.0,300.0,8,2,0.2,b-000,8,81,1,6,626522750,626527850
100.0,100.0,300.0,8,2,0.2,d-016,8,82,1,7,626855300,626852650
